q1,q2,q3,q4,q5,q6,q7,q29,q58,q65,q67,weight,stratum,psu
6,2,3,2,A,1.65,59.42,1,1,,1,0.0095,300,58418
5,2,3,2,A,1.52,59.42,1,1,4,3,0.0095,300,58418
7,1,4,2,D,1.6,70.31,1,2,1,1,0.0661,300,58418
7,2,4,2,A,,,1,,,1,0.0085,300,58418
3,2,1,2,A,,,1,1,1,3,0.0033,300,58418
4,2,1,2,AB,1.65,53.98,1,1,1,1,0.0033,300,58418
6,1,2,2,A,1.7,81.65,1,1,1,1,0.0089,300,58418
4,2,1,2,A,1.68,52.16,1,1,1,4,0.0033,300,58418
3,2,1,2,A,1.73,62.6,1,1,1,4,0.0033,300,58418
6,2,2,2,A,1.8,87.09,1,1,1,1,0.0033,300,58418
7,2,4,2,A,1.8,113.4,1,1,1,1,0.0085,300,58418
7,1,4,2,A,1.6,50.8,1,1,1,1,0.0155,300,58418
3,1,1,2,A,1.57,46.27,1,1,1,3,0.007,300,58418
4,2,1,1,D,1.65,82.1,1,1,1,1,0.026,300,58418
6,1,4,2,A,1.57,61.24,1,1,1,4,0.0155,300,58418
7,1,4,2,A,1.52,40.82,1,1,1,3,0.0155,300,58418
6,1,4,2,A,1.6,97.98,1,1,3,1,0.0155,300,58418
3,2,1,2,A,,,1,1,4,3,0.0033,300,58418
3,1,1,2,A,,,1,1,1,1,0.007,300,58418
6,2,4,2,A,1.8,79.38,2,4,1,1,0.0085,300,58418
3,2,1,2,A,1.8,92.99,1,1,,1,0.0033,300,58418
4,1,1,2,A,1.65,68.04,1,1,4,1,0.007,300,58418
5,2,2,2,A,1.85,66.23,1,1,1,4,0.0033,300,58418
7,2,4,2,A,1.83,86.18,1,1,1,1,0.0085,300,58418
7,1,4,2,A,1.57,83.92,2,5,1,1,0.0155,300,58418
6,2,1,2,A,1.73,53.07,5,2,1,3,0.0033,300,58418
3,1,1,2,A,,,1,5,1,4,0.007,300,58418
5,1,2,1,A,1.6,49.44,1,1,1,2,0.0178,300,58418
7,1,4,2,A,1.63,49.9,1,2,1,2,0.0155,300,58418
4,1,1,2,A,,,,1,1,1,0.007,300,58418
6,2,2,2,A,1.68,49.9,1,3,1,2,0.0033,300,58418
7,2,4,2,A,1.83,68.04,1,5,1,3,0.0085,300,58418
6,1,4,2,A,1.63,63.05,1,7,1,1,0.0155,300,58418
5,2,1,2,A,,,1,1,1,1,0.0033,300,58418
4,2,1,2,A,,,1,,,,0.0033,300,58418
6,1,3,2,A,,,3,1,1,1,0.0089,300,58418
6,1,4,2,A,1.6,62.6,5,2,1,1,0.0155,300,58418
3,1,1,2,A   E,1.63,67.59,1,1,1,1,0.007,300,58418
4,2,1,2,A,,,1,1,1,1,0.0033,300,58418
6,1,3,2,A,1.65,88.91,1,1,2,1,0.0089,300,58418
6,2,4,2,A,1.78,108.41,1,1,1,1,0.0085,300,58418
6,1,4,2,A,1.6,56.7,2,2,1,1,0.0155,300,58418
3,1,1,2,A C,1.63,52.16,1,1,1,3,0.007,300,58418
4,2,1,2,A,1.7,54.43,1,1,1,2,0.0033,300,58418
5,2,2,2,A,1.68,79.38,3,1,1,1,0.0033,300,58418
6,1,4,2,A,1.6,68.04,1,1,1,1,0.0155,300,58418
7,2,4,2,A,1.78,61.24,1,1,,4,0.0085,300,58418
7,2,4,2,A,1.83,108.86,1,1,1,1,0.0085,300,58418
6,2,4,2,A,,,1,7,1,1,0.0085,300,58418
4,1,1,2,A,1.65,94.35,,,,,0.007,300,58418
4,2,1,2,A,1.73,58.51,1,1,1,1,0.0033,300,58418
6,2,2,2,A,1.68,67.13,1,1,1,1,0.0033,300,58418
7,1,4,1,A,1.68,82.56,1,5,1,1,0.0397,300,58418
7,2,4,2,A,1.75,101.15,1,1,1,1,0.0085,300,58418
3,2,1,2,A,1.8,62.14,1,2,1,1,0.0033,300,58418
4,1,1,2,A,1.6,72.12,1,1,1,1,0.007,300,58418
4,1,2,2,A,1.73,68.04,1,1,1,4,0.0089,300,58418
6,1,4,2,A,1.65,49.9,2,2,1,2,0.0155,300,58418
6,1,4,2,A,1.52,49.9,1,1,1,4,0.0155,300,58418
4,1,1,2,A   E,1.52,42.18,3,1,1,1,0.007,300,58418
